,thumbnail_path,RA,Dec,interacting
AHZ10004js,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ10004js_300_300.png,215.00139669999996,52.9553995,1
AHZ20000ak,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20000ak_300_300.png,150.3878223,1.5939996,1
AHZ20000f7,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20000f7_300_300.png,150.19955980000003,1.6022006000000002,1
AHZ20000gx,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20000gx_300_300.png,150.17861580000002,1.5852546,1
AHZ20000hj,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20000hj_300_300.png,150.1964036,1.6255654,1
AHZ20001cd,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20001cd_300_300.png,150.7607271,1.7625126,1
AHZ20001zg,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20001zg_300_300.png,150.6845118,1.6877306,1
AHZ2000251,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ2000251_300_300.png,150.60827680000003,1.6312018999999998,1
AHZ20002al,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20002al_300_300.png,150.5445655,1.7485058999999998,1
AHZ20002de,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20002de_300_300.png,150.49508500000002,1.7940585,1
AHZ20002f2,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20002f2_300_300.png,150.4065993,1.7936092000000001,1
AHZ20002na,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20002na_300_300.png,150.4361571,1.7942803,1
AHZ20002ta,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20002ta_300_300.png,150.5233031,1.6557784,1
AHZ200032f,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ200032f_300_300.png,150.34640119999997,1.764559,1
AHZ20003pg,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20003pg_300_300.png,150.39434440000002,1.6911124,1
AHZ20003s1,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20003s1_300_300.png,150.3077759,1.6769508000000002,1
AHZ20003vz,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20003vz_300_300.png,150.31059530000002,1.6437941000000003,1
AHZ2000466,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ2000466_300_300.png,150.1683909,1.7862723000000003,1
AHZ200048a,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ200048a_300_300.png,150.1710892,1.7804891,1
AHZ20004ko,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20004ko_300_300.png,150.2008172,1.6577051,1
AHZ20004lj,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20004lj_300_300.png,150.2043968,1.7030762,1
AHZ20004td,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20004td_300_300.png,150.113773,1.6584876,1
AHZ20004ug,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20004ug_300_300.png,150.1383624,1.6499557,1
AHZ20004yv,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20004yv_300_300.png,150.135072,1.6910186999999999,1
AHZ20004z6,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20004z6_300_300.png,150.1396716,1.6858667,1
AHZ2000536,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ2000536_300_300.png,150.048177,1.7386810000000001,1
AHZ20005bp,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20005bp_300_300.png,149.9262733,1.7273011999999999,1
AHZ20005my,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20005my_300_300.png,149.981373,1.6935179,1
AHZ20005rx,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20005rx_300_300.png,149.96778559999998,1.6479925,1
