,id_str,RA,DEC,merging_merger,file_loc
0,587724197207212176,01:30:37.76,+13:12:52.0,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/c7ab5e28-b085-4717-956e-446c52fd34bf.png
1,587731512073650262,01:58:16.35,-00:31:18.8,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/3ed027bf-8095-4bfa-bbcd-457e9e6665e7.png
2,587738195036799112,07:34:03.45,+43:32:41.3,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/219bca8a-7848-4824-8375-7ba7e6399b37.png
3,587732156315402630,07:57:33.42,+25:34:36.5,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/49be15fd-70be-46b7-a0c0-6dfd938a80aa.png
4,587728669878845746,08:04:22.68,+40:38:55.9,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/99dadbaa-e3df-452c-be2e-57c0254aa80b.png
5,587737825675903236,08:06:55.01,+50:03:00.6,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/23c7e3aa-459a-47fb-8831-4fd87f621165.png
6,587732578831434101,08:20:11.59,+04:22:08.2,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/86000659-84f6-4bbc-ad05-5dd8cc088320.png
7,588013383261880542,08:29:17.37,+35:04:45.6,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/b0446b2f-0b8e-4040-87da-0584be5f965a.png
8,587741386202218597,08:30:31.36,+18:12:07.5,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/9b80e0fb-7523-4eb3-b979-0f0d94b9b179.png
9,587741386202218596,08:30:31.68,+18:12:22.0,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/53a50849-2378-43ec-bd91-1cd25a9c7592.png
10,588010136263327818,08:36:44.83,+47:22:18.9,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/64de3053-283c-4f0d-9474-a7aadc66f921.png
11,587732469850767564,08:38:51.95,+33:12:31.4,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/3350bfcc-019b-42af-aa08-4d3630ce14df.png
12,587732469850767563,08:38:52.36,+33:12:26.7,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/db42a3ef-2e13-4a2c-8927-d2b7704241bb.png
13,587731520668434686,08:50:57.24,+40:11:34.5,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/7b1ae380-5055-44d3-bde2-f20ad9517781.png
14,588023240205795356,08:53:12.35,+16:26:19.5,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/438d22cc-59dd-4eb3-ab86-062c77386cd5.png
15,587725469597499626,09:00:23.64,+53:46:19.3,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/49e6d13b-ee0b-4c39-89ca-e96c330a73bb.png
16,588013382191349914,09:00:25.37,+39:03:53.7,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/f4556015-8dff-4ccd-b8b8-711c1abd903e.png
17,588013382191349913,09:00:25.61,+39:03:49.3,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/d5a83408-83f7-4921-b06f-a476bb18fb3c.png
18,587741817313558731,09:05:37.08,+17:42:50.2,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/3d9cb901-b896-452d-900c-b7878ad6e878.png
19,587734621635149881,09:15:02.50,+36:05:23.7,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/2a303be5-5d9c-43db-baed-c5304975c031.png
20,587731521207992450,09:15:55.53,+44:19:58.0,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/5dfb35f0-46a9-4771-ad07-cf3115533733.png
21,587728930808135685,09:22:29.44,+50:25:48.5,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/db37e106-370b-462f-a5ed-d8c57ce0f8e8.png
22,587725818015842502,09:29:04.24,+61:06:59.0,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/bea0a894-928b-4d3a-ba7e-089e712cd8d7.png
23,587741532774793359,09:36:33.94,+23:26:38.8,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/ec6df568-df0b-4a96-b6fb-a289e62dd7ea.png
24,587738196660781221,09:46:43.44,+68:50:02.6,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/24830703-8933-4aa3-bdf9-2cf8dac2dc6c.png
25,587738617285836937,09:51:12.52,+31:35:38.9,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/2318a12f-a279-4c0b-93bc-12a9f3e2cef9.png
26,587728881411424336,09:52:13.28,+04:53:44.2,1,/mmfs1/home/users/oryan/Zoobot/data/cutouts/e5dd4e54-e52e-4868-b897-2a95c59f1fd4.png
