,zooniverse_id,thumbnail_path,interacting,local_path,my_interacting
0,AHZ10004js,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ10004js_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ10004js_300_300.png,
1,AHZ20000ak,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20000ak_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ20000ak_300_300.png,
2,AHZ20000f7,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20000f7_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ20000f7_300_300.png,
3,AHZ20000gx,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20000gx_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ20000gx_300_300.png,
4,AHZ20000hj,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20000hj_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ20000hj_300_300.png,
5,AHZ20001cd,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20001cd_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ20001cd_300_300.png,
6,AHZ20001y6,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20001y6_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ20001y6_300_300.png,
7,AHZ20001zg,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20001zg_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ20001zg_300_300.png,
8,AHZ2000251,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ2000251_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ2000251_300_300.png,
9,AHZ20002al,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20002al_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ20002al_300_300.png,
10,AHZ20002de,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20002de_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ20002de_300_300.png,
11,AHZ20002f2,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20002f2_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ20002f2_300_300.png,
12,AHZ20002na,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20002na_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ20002na_300_300.png,
13,AHZ20002ta,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20002ta_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ20002ta_300_300.png,
14,AHZ200032f,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ200032f_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ200032f_300_300.png,
15,AHZ20003pg,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20003pg_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ20003pg_300_300.png,
16,AHZ20003s1,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20003s1_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ20003s1_300_300.png,
17,AHZ20003vz,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20003vz_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ20003vz_300_300.png,
18,AHZ2000466,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ2000466_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ2000466_300_300.png,
19,AHZ200048a,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ200048a_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ200048a_300_300.png,
20,AHZ20004ko,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20004ko_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ20004ko_300_300.png,
21,AHZ20004lj,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20004lj_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ20004lj_300_300.png,
22,AHZ20004td,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20004td_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ20004td_300_300.png,
23,AHZ20004ug,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20004ug_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ20004ug_300_300.png,
24,AHZ20004yv,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20004yv_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ20004yv_300_300.png,
25,AHZ20004z6,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ20004z6_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ20004z6_300_300.png,
26,AHZ2000536,/mmfs1/scratch/hpc/60/oryan/fromMAST/thumbnails/AHZ2000536_300_300.png,1,C:/Users/oryan/Documents/esac-project/cutouts/hubble-training-all/AHZ2000536_300_300.png,
